,_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight
0,abdelal01,"June 24, 1968","Cairo, Egypt",0.3,50.2,0.0,70.1,256,13.0,5.7,3.3,4.8,50.2,Duke University,25th overall,1st round,Portland Trail Blazers,1990,6-10,"Bloomfield in Bloomfield, New Jersey",Alaa Abdelnaby,Power Forward,Right,240lb
2,abdulka01,"April 16, 1947","New York, New York",3.6,55.9,5.6,72.1,1560,24.6,24.6,11.2,273.4,55.9,"University of California, Los Angeles",1st overall,1st round,Milwaukee Bucks,1969,7-2,"Power Memorial in New York, New York",Kareem Abdul-Jabbar,Center,Right,225lb
3,abdulma02,"March 9, 1969","Gulfport, Mississippi",3.5,44.2,35.4,90.5,586,15.4,14.6,1.9,25.2,47.2,Louisiana State University,3rd overall,1st round,Denver Nuggets,1990,6-1,"Gulfport in Gulfport, Mississippi",Mahmoud Abdul-Rauf,Point Guard,Right,162lb
4,abdulta01,"November 3, 1974","Maisons Alfort, France",1.1,41.7,23.7,70.3,236,11.4,7.8,3.3,3.5,42.2,"University of Michigan, San Jose State University",11th overall,1st round,Sacramento Kings,1997,6-6,"Lycee Aristide Briand in Evreux, France",Tariq Abdul-Wahad,Shooting Guard,Right,223lb
5,abdursh01,"December 11, 1976","Marietta, Georgia",2.5,47.2,29.7,81.0,830,19.0,18.1,7.5,71.2,47.9,University of California,3rd overall,1st round,Vancouver Grizzlies,1996,6-9,"Wheeler in Marietta, Georgia",Shareef Abdur-Rahim,Center and Small Forward and Power Forward,Right,225lb
6,abernto01,"May 6, 1954","South Bend, Indiana",1.2,49.2,0.0,74.7,319,12.9,5.6,3.2,13.4,49.2,Indiana University,43rd overall,3rd round,Los Angeles Lakers,1976,6-7,"Saint Joseph in South Bend, Indiana",Tom Abernethy,Small Forward and Power Forward,Right,220lb
10,ackeral01,"January 21, 1983","Compton, California",0.5,37.0,32.0,50.0,30,8.5,2.7,1.0,-0.2,41.3,Pepperdine University,60th overall,2nd round,Detroit Pistons,2005,6-5,"Eisenhower in Rialto, California",Alex Acker,Shooting Guard,Right,185lb
12,acresma01,"November 15, 1962","Inglewood, California",0.5,50.6,53.8,66.5,375,9.0,3.6,4.1,9.3,50.9,Oral Roberts University,40th overall,2nd round,Dallas Mavericks,1985,6-11,"Palos Verdes in Palos Verdes Estates, California",Mark Acres,Center,Right,220lb
14,acyqu01,"October 6, 1990","Tyler, Texas",0.6,44.4,35.0,75.9,337,11.2,4.9,3.5,8.7,51.3,Baylor University,37th overall,2nd round,Toronto Raptors,2012,6-7,"Mesquite Horn in Mesquite, Texas",Quincy Acy,Power Forward and Small Forward,Right,240lb
15,adamsal01,"July 19, 1954","Lawrence, Kansas",4.1,49.8,13.3,78.8,988,18.3,14.1,7.0,73.5,49.8,University of Oklahoma,4th overall,1st round,Phoenix Suns,1975,6-9,"Putnam City in Warr Acres, Oklahoma",Alvan Adams,Center and Power Forward,Right,210lb
16,adamsdo01,"November 27, 1947","Atlanta, Georgia",1.9,40.2,0.0,74.1,523,10.7,8.8,5.6,11.7,40.2,Northwestern University,120th overall,8th round,San Diego Rockets,1970,6-6,"South Fulton in South Fulton, Georgia",Don Adams,Small Forward,Right,210lb
18,adamsha01,"June 20, 1984","Inglewood, California",0.2,53.4,0.0,64.3,73,11.8,2.5,1.2,0.8,53.4,University of Arizona,54th overall,2nd round,New Jersey Nets,2006,6-4,"Westchester in Los Angeles, California",Hassan Adams,Shooting Guard,Right,220lb
20,adamsjo01,"July 8, 1994","Atlanta, Georgia",0.6,40.2,38.5,60.7,32,13.1,3.2,0.9,0.4,45.7,"University of California, Los Angeles",22nd overall,1st round,Memphis Grizzlies,2014,6-5,"Oak Hill Academy in Mouth of Wilson, Virginia",Jordan Adams,Shooting Guard,Right,209lb
