_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight
crossch01,4-Jul-23,"Luzerne, Pennsylvania",1.5,31.8,,71.1,147,-,4.7,-,3.7,,University of Pennsylvania,6th overall,1st round,Philadelphia Warriors,1947,1-Jun,"Luzerne in Luzerne, Pennsylvania",Chink Crossin,Guard,Right,165lb
ehlerbu01,10-Mar-23,"Joliet, Illinois",1.8,28.6,,61.8,99,-,8.1,-,3,,Purdue University,3rd overall,1st round,Boston Celtics,1947,3-Jun,"South Bend Central in South Bend, Indiana",Bulbs Ehlers,Forward/Guard,Right,198lb
holubdi01,29-Oct-21,"Racine, Wisconsin",0.8,29.5,,63.3,48,-,10.5,-,4.2,,Long Island University,5th overall,1st round,New York Knicks,1947,6-Jun,,Dick Holub,Center,Right,205lb
hustopa01,2-Jun-25,,0.6,23.7,,69.7,46,-,3.6,-,1.2,,Ohio State University,8th overall,1st round,Chicago Stags,1947,3-Jun,"Xenia Central in Xenia, Ohio",Paul Huston,Forward,Right,175lb
okeefdi01,29-Sep-23,"San Francisco, California",0.9,27.2,,64,172,-,5.2,2.2,1.7,,Santa Clara University,9th overall,1st round,Washington Capitols,1947,2-Jun,,Dick O'Keefe,Guard/Forward,Right,185lb
pollaji01,9-Jul-22,"Oakland, California",3.2,36,,75,438,15.5,13.2,7.8,34.9,,Stanford University,and St. Louis Bombers,1947 BAA Draf,Chicago Stags,1947,4-Jun,"Oakland Technical in Oakland, California",Jim Pollard,Small Forward,Right,185lb
selbogl01,29-Mar-26,,1.8,19.6,,75.9,13,-,3.2,-,-0.2,,University of Wisconsin,2nd overall,1st round,Toronto Huskies,1947,3-Jun,,Glen Selbo,Guard/Forward,Right,196lb
budkowa01,30-Jul-25,"Kearney, New Jersey",1.9,34.2,,75.7,253,10.2,8.1,5.4,13.7,,Columbia University,6th overall,1st round,Baltimore Bullets,1948,5-Jun,"Trinity School in New York, New York",Walt Budko,Power Forward,Right,220lb
gallaha01,26-Apr-27,"Roxana, Illinois",1.8,39.8,,77.3,682,21.5,13,11.9,78.4,,Truman State University,and New York Knicks,1947 BAA Draf,Baltimore Bullets,1948,6-Jun,"Roxana in Roxana, Illinois",Harry Gallatin,Power Forward and Small Forward,Right,210lb
mikaned01,20-Oct-25,,0.9,32,,75.6,323,10.6,6.7,5.5,3.6,,DePaul University,5th overall,1st round,Chicago Stags,1948,8-Jun,"Joliet Catholic in Joliet, Illinois",Ed Mikan,Center,Right,230lb
nichoja01,9-Apr-26,,1.9,36.8,,75.2,505,11.9,10.4,6.9,24.8,,University of Washington,12th overall,1st round,Washington Capitols,1948,7-Jun,"Everett in Everett, Washington",Jack Nichols,Power Forward,Left,222lb
raydo01,8-Jul-21,"Mt. Juliet, Tennessee",1,32.3,,69.8,61,-,6,-,1.3,,Western Kentucky University,11th overall,1st round,Philadelphia Warriors,1948,5-Jun,,Don Ray,Forward/Center,Right,190lb
schaydo01,19-May-28,"New York, New York",3.1,38,,84.9,996,22,18.5,12.1,142.4,,New York University,4th overall,1st round,New York Knicks,1948,8-Jun,"DeWitt Clinton in Bronx, New York",Dolph Schayes,Power Forward and Center,Right,220lb
tonkoan01,1-Nov-22,"Barrackville, West Virginia",0.6,26.8,,66.7,17,-,2.6,-,-0.4,,Marshall University,1st overall,1st round,Providence Steamrollers,1948,1-Jun,"Union in Benwood, West Virginia",Andy Tonkovich,Guard,Right,185lb
wanzebo01,4-Jun-21,"Brooklyn, New York",3.2,39.3,,80.2,568,17.2,12.2,4.5,63.9,,Seton Hall University,10th overall,1st round,Rochester Royals,1948,Jun-00,"Benjamin Franklin in New York, New York",Bobby Wanzer,Point Guard and Shooting Guard,Right,170lb
williwa01,26-Jun-23,"Colfax, Indiana",1.5,23.7,,75,53,-,4.1,-,1.8,,Indiana University,8th overall,1st round,Fort Wayne Pistons,1948,4-Jun,"Colfax in Colfax, Indiana",Ward Williams,Forward,Right,195lb
gardnve01,14-May-25,"Afton, Wyoming",1.6,34.4,,74.8,151,11.1,8.9,4,7.4,,University of Utah,5th overall,1st round,Philadelphia Warriors,1949,5-Jun,"Star Valley in Afton, Wyoming",Vern Gardner,Shooting Guard,Right,200lb
grozaal01,7-Oct-26,"Martins Ferry, Ohio",2.4,47.4,,75.6,130,-,22.5,10.7,35.9,,University of Kentucky,2nd overall,1st round,Indianapolis Olympians,1949,7-Jun,"Martins Ferry in Martins Ferry, Ohio",Alex Groza,Center,Right,218lb
